Raster,Red,Green,Blue,NIR,FC,ch1,CH,wc,WC,geom,GEOM,NDVI,EVI,SAVI,AVI,BAI,BCC,BITM,BIXS,BNDVI,CIG,CVI,DSWI4,DVI,EVI2,ExG,ExGR,ExR,FCVI,GARI,GBNDVI,GCC,GEMI,GLI,GNDVI,GOSAVI,GRNDVI,GRVI,IKAW,IPVI,MCARI1,MCARI2,MGRVI,MRBVI,MSAVI,MSR,MTVI1,MTVI2,NDDI,NDGlaI,NDSII,NDTI,NDYI,NIRv,NLI,NormG,NormNIR,NormR,OSAVI,PISI,RCC,RDVI,RGBVI,RGRI,RI4XS,SI,SR,TDVI,TGI,TVI,TriVI,VARI,VrNIRBI,LAI,AFC,time_s
BAR_190627_1207_0078,0.029187493,0.037883688,0.004885973,0.22689906,0.510416667,1.413853149,1.5,1.299639925,1.225000001,2.597955163,2.756250002,0.77204978,0.362008525,0.392239948,0.351830414,30.42314884,0.067901143,0.027754617,0.033816295,0.957840479,4.989360381,4.614503588,1.297942513,0.197711567,0.381108973,0.04169391,0.041633857,6.01e-05,0.202913342,0.77215569,0.682798503,0.52647563,0.611053835,0.379584763,0.713850783,0.444969512,0.543687274,5.989360381,0.71320951,0.88602489,0.298270721,0.354465503,0.255025255,0.945482508,0.362263476,2.28686377,0.298270721,0.354465503,25.53137738,0.129656208,-0.713850783,-0.129656208,0.771521547,0.175177369,0.276379118,0.128869126,0.771843637,0.099287237,0.475169326,-0.051124022,0.405623227,0.390695754,0.819228256,0.770450147,413.6038595,0.975914857,7.773845462,0.389187058,2.284229725,1.127851843,12.21054182,0.139843466,-0.77204978,1.24,0.77,154056360.0
BAR_190627_1207_0079,0.030376099,0.03740092,0.004649541,0.22648208,0.456597222,1.552047119,1.503287313,1.059085114,1.09343702,2.551177451,2.47102852,0.763479605,0.356850344,0.388657981,0.350517199,30.70897452,0.064196629,0.027947298,0.034070047,0.959767158,5.055521629,4.91814438,1.23126146,0.196105981,0.377305463,0.0397762,0.037688191,0.002088009,0.202339893,0.76046896,0.686812921,0.516397852,0.609010706,0.362169832,0.71653407,0.446069222,0.53933782,6.055521629,0.734506436,0.881739802,0.293351333,0.345925574,0.205088951,0.954214455,0.358291571,2.220128643,0.293351333,0.345925574,31.52618627,0.10364606,-0.71653407,-0.10364606,0.778858976,0.172914449,0.256128006,0.127102,0.76966891,0.10322909,0.470438127,-0.051078569,0.419405519,0.386940457,0.81658562,0.812175182,471.5577188,0.975756812,7.455930401,0.385694707,2.210951475,1.124046087,12.0473517,0.111279925,-0.763479605,1.1,0.75,154056360.0
BAR_190627_1207_0080,0.02887257,0.038119968,0.004316897,0.24551281,0.473958333,1.338545532,1.5,1.274704489,1.137499999,2.283893312,2.559374998,0.789547315,0.390660511,0.419636486,0.37241729,25.33305752,0.060537529,0.027721188,0.033813882,0.965441284,5.440530328,4.878143201,1.320283161,0.21664024,0.411924038,0.043050469,0.043636096,-0.000585627,0.221742998,0.788266176,0.705248044,0.534571169,0.641825708,0.393408607,0.731201956,0.467487644,0.571255094,6.440530328,0.739863433,0.894773657,0.326387886,0.389055413,0.270910548,0.956267852,0.395500139,2.433973934,0.326387886,0.389055413,26.06461416,0.138036239,-0.731201956,-0.138036239,0.796549674,0.19384398,0.352263415,0.12198181,0.785627547,0.092390643,0.498728203,-0.062265195,0.404891302,0.413579158,0.842005155,0.75741328,394.7851211,0.976126468,8.503323743,0.423367752,2.35184319,1.135582368,13.36831032,0.147543732,-0.789547315,1.34,0.79,154056360.0
BAR_190627_1207_0082,0.031079939,0.038227297,0.00554079,0.23723349,0.456597222,1.695941925,1.572025843,0.969225405,1.045625304,2.787704538,2.584017478,0.768331096,0.372883691,0.402479398,0.361869174,27.65357881,0.074027203,0.028623936,0.0348374,0.95435439,5.20586619,5.045555343,1.229966925,0.206153551,0.392875378,0.039833865,0.037657241,0.002176624,0.212284148,0.772525684,0.688485115,0.5107322,0.625905285,0.35227726,0.722448357,0.457001408,0.547810584,6.20586619,0.697395975,0.884165548,0.308010992,0.361850048,0.204081038,0.93839371,0.375009641,2.257509239,0.308010992,0.361850048,32.49107364,0.103125711,-0.722448357,-0.103125711,0.746811415,0.182273867,0.288460229,0.124705443,0.773905292,0.101389265,0.481314703,-0.056514391,0.415240597,0.397987668,0.789159636,0.813029993,452.3409987,0.974950253,7.633010155,0.403487438,2.21134795,1.126202067,12.65510738,0.112086504,-0.768331096,1.01,0.89,154056360.0
BAR_190627_1207_0083,0.02843819,0.038265977,0.004841767,0.25688842,0.532986111,1.747298126,1.666115654,1.098123996,1.151630738,3.352628279,3.19685941,0.800662196,0.410526025,0.436347554,0.384889019,22.78623596,0.067673545,0.02766742,0.033712132,0.963001845,5.713233011,4.989084583,1.345584125,0.22845023,0.430992606,0.043251997,0.044548327,-0.00129633,0.233039775,0.80516445,0.712611365,0.534844887,0.660331912,0.393873457,0.740705357,0.480325895,0.587727472,6.713233011,0.70902805,0.900331098,0.344299679,0.411588119,0.288407318,0.943659077,0.416330612,2.53611817,0.344299679,0.411588119,25.70795243,0.147333929,-0.740705357,-0.147333929,0.775364399,0.205680846,0.397686433,0.118253565,0.793863736,0.087882699,0.512994788,-0.068359133,0.397481568,0.427681497,0.828098445,0.743171669,377.1834933,0.976051018,9.033219765,0.444459869,2.349425145,1.14046578,14.10012528,0.158865272,-0.800662196,1.64,0.78,154056360.0
BAR_190627_1207_0084,0.029371351,0.03883344,0.004738296,0.2585409,0.576388889,1.742944107,1.680542885,1.190514367,1.234720053,3.616609023,3.487126487,0.79597012,0.409456016,0.436285034,0.385993292,22.51902546,0.064958808,0.02824396,0.034429002,0.964005542,5.657687292,5.035486692,1.322153686,0.229169549,0.431083534,0.043557233,0.044207917,-0.000650684,0.234226538,0.798371097,0.711553038,0.532379991,0.661814413,0.389681395,0.73882454,0.480366826,0.58252064,6.657687292,0.722172674,0.89798506,0.344765009,0.409563327,0.272221896,0.949269583,0.416422209,2.492096619,0.344765009,0.409563327,26.85762682,0.138730562,-0.73882454,-0.138730562,0.78250598,0.205790831,0.389462601,0.118849127,0.79126032,0.089890553,0.511639386,-0.069391594,0.402661201,0.427097311,0.831022791,0.756341725,379.33629,0.97558029,8.802485796,0.445191447,2.376881755,1.138406834,14.1286565,0.14908794,-0.79597012,1.53,0.66,154056360.0
BAR_190627_1207_0085,0.033522926,0.042329084,0.005138062,0.24820107,0.432291667,0.749568787,1.5,2.076193711,1.037500001,1.166516426,2.334375002,0.762015828,0.380418314,0.411932111,0.372044035,25.10112987,0.06344064,0.031315266,0.038180741,0.959437281,4.863605978,4.643739262,1.262690614,0.214678144,0.403938508,0.04599718,0.04474646,0.00125072,0.221204379,0.757660329,0.67891614,0.522645343,0.64066625,0.372992984,0.708607982,0.456954954,0.531854411,5.863605978,0.734199136,0.881007914,0.322874134,0.373844972,0.229105161,0.954094946,0.387024447,2.209046983,0.322874134,0.373844972,27.53572582,0.116096568,-0.708607982,-0.116096568,0.78351081,0.189133144,0.295194157,0.130623921,0.765927206,0.103448873,0.486000638,-0.063134213,0.413914017,0.404460312,0.824599411,0.791959637,350.048608,0.972874657,7.403920231,0.417421077,2.53967685,1.123394778,13.23293496,0.124532122,-0.762015828,1.02,0.77,154056360.0
BAR_190627_1207_0086,0.030256186,0.04644519,0.005125946,0.3068506,0.512152778,1.208660736,1.5,1.525448743,1.229166667,2.228468233,2.765625001,0.820494945,0.476905628,0.495625681,0.434986521,15.19770274,0.062643453,0.032139632,0.039195615,0.967138902,5.606725045,4.303875209,1.535064268,0.276594414,0.501271008,0.057508248,0.064620396,-0.007112148,0.279574826,0.823978267,0.712232095,0.567600025,0.73208909,0.448328696,0.737074761,0.50732037,0.60004703,6.606725045,0.710252282,0.910247473,0.423550802,0.497472358,0.404127426,0.944196699,0.494090208,2.738751112,0.423550802,0.497472358,18.67137693,0.211065366,-0.737074761,-0.211065366,0.801208723,0.251769366,0.513618833,0.121092298,0.800023515,0.078884188,0.556408445,-0.096779644,0.369756522,0.476386732,0.865852083,0.651438524,196.7276424,0.972576104,10.14174754,0.525047422,3.04576978,1.149127906,17.243225,0.226181023,-0.820494945,1.24,0.83,154056360.0
BAR_190627_1207_0087,0.025742117,0.039220482,0.004088141,0.31382406,0.564236111,1.809181519,1.79071507,1.122745274,1.134323396,3.67489996,3.637389985,0.848382326,0.500971752,0.51469786,0.444930387,14.29778844,0.059204883,0.027188329,0.033173052,0.974281321,7.001535014,5.251757246,1.523591941,0.288081943,0.523554933,0.048610706,0.054366436,-0.00575573,0.290807147,0.853816548,0.757464802,0.5679951,0.747291376,0.448971621,0.777815673,0.535243152,0.656996373,8.001535014,0.725906427,0.924191163,0.435864247,0.527074068,0.397832027,0.9507988,0.520318158,3.08128376,0.435864247,0.527074068,23.04485096,0.207478845,-0.777815673,-0.207478845,0.811208913,0.266242786,0.585565445,0.103542406,0.828498186,0.067959408,0.576664226,-0.101629093,0.372800016,0.494371954,0.871933735,0.656343719,280.0507972,0.976876186,12.19107426,0.546935097,2.579683235,1.161198659,17.82405118,0.221412485,-0.848382326,1.54,0.65,154056360.0
BAR_190627_1207_0088,0.030720573,0.042374372,0.004892729,0.30035192,0.53125,1.548501205,1.516394466,1.235065232,1.261215365,2.961508555,2.900104416,0.814417847,0.4655302,0.486656728,0.428170356,15.98243608,0.062737209,0.030349518,0.03700906,0.967942246,6.08805596,5.138698941,1.37934836,0.269631347,0.490566584,0.049135442,0.051573069,-0.002437627,0.274356029,0.817989054,0.728052275,0.543347042,0.722363324,0.408230365,0.75272179,0.513157064,0.608538982,7.08805596,0.725230252,0.907208924,0.406449066,0.476574024,0.310963036,0.950523954,0.482074522,2.673586107,0.406449066,0.476574024,25.40096904,0.15943372,-0.75272179,-0.15943372,0.792975287,0.244611964,0.491935776,0.113468276,0.804269491,0.082262233,0.54906628,-0.093243703,0.393915749,0.468607065,0.845513298,0.724980019,292.715368,0.973878739,9.776898367,0.513262662,2.656781545,1.146480635,16.64403278,0.170871266,-0.814417847,1.38,0.76,154056360.0
