Raster,Red,Green,Blue,NIR,FC,ch1,CH,wc,WC,geom,GEOM,NDVI,EVI,SAVI,AVI,BAI,BCC,BITM,BIXS,BNDVI,CIG,CVI,DSWI4,DVI,EVI2,ExG,ExGR,ExR,FCVI,GARI,GBNDVI,GCC,GEMI,GLI,GNDVI,GOSAVI,GRNDVI,GRVI,IKAW,IPVI,MCARI1,MCARI2,MGRVI,MRBVI,MSAVI,MSR,MTVI1,MTVI2,NDDI,NDGlaI,NDSII,NDTI,NDYI,NIRv,NLI,NormG,NormNIR,NormR,OSAVI,PISI,RCC,RDVI,RGBVI,RGRI,RI4XS,SI,SR,TDVI,TGI,TVI,TriVI,VARI,VrNIRBI,LAI,AFC,time_s
RIP_180619_1120_0011,0.045001708,0.06879437,0.011735977,0.55584675,0.616319444,1.296821518,1.5,1.710913929,1.479166666,2.877322741,3.328124998,0.85020613,0.734886229,0.696069979,0.647265237,4.01785839,0.093489882,0.047942856,0.058128388,0.958645757,7.079829062,5.285405014,1.528705755,0.510845042,0.767564356,0.080851055,0.091143205,-0.01029215,0.514002732,0.872133104,0.746909977,0.548022336,0.973368508,0.416057955,0.779731536,0.620732673,0.660129032,8.079829062,0.586307513,0.925103065,0.772733413,0.744147765,0.400648729,0.872639519,0.750687324,3.106649148,0.772733413,0.744147765,23.12801795,0.209081564,-0.779731536,-0.209081564,0.708532809,0.472584314,0.745729587,0.10273293,0.830064516,0.067202554,0.671414967,-0.234163999,0.358487782,0.65903231,0.799217392,0.654148123,90.41623178,0.957871072,12.35168119,0.829200999,4.25624675,1.161983705,31.602409,0.23312403,-0.85020613,4.18,0.67,121826340.0
RIP_180619_1120_0012,0.046283983,0.07007877,0.011829489,0.54023224,0.633680556,1.082371979,1.5,2.10763956,1.520833334,2.469161079,3.421875002,0.842173222,0.714122109,0.681924825,0.633714548,4.282500914,0.092279289,0.04896658,0.059385356,0.957144325,6.708928681,5.091412478,1.514104134,0.493948257,0.747811012,0.082044068,0.09195366,-0.009909592,0.497501493,0.863440546,0.73668887,0.546669353,0.960176717,0.413797595,0.770350628,0.610342399,0.645556989,7.708928681,0.592883075,0.921086611,0.748405358,0.725520677,0.392560936,0.877363728,0.733333887,2.997961698,0.748405358,0.725520677,22.45148465,0.204488003,-0.770350628,-0.204488003,0.711152718,0.454969126,0.726239504,0.106730588,0.822778495,0.070490917,0.661671162,-0.225132472,0.361051358,0.644972864,0.799391457,0.660456555,88.82098157,0.956971586,11.67212079,0.8093116,4.327774405,1.158521999,30.5886869,0.227628853,-0.842173222,3.83,0.71,121826340.0
RIP_180619_1120_0013,0.04590915,0.067557156,0.01206303,0.53147113,0.604166667,1.32301281,1.5,1.643975013,1.450000001,2.877552863,3.262500002,0.840974306,0.707216996,0.676031466,0.626764939,4.440283475,0.096097298,0.047669473,0.057756469,0.955612615,6.866984957,5.346089354,1.471540118,0.48556198,0.739440603,0.077142132,0.085017393,-0.007875261,0.489628018,0.864006294,0.739416405,0.538178231,0.953904768,0.399521122,0.774444187,0.611194579,0.648132362,7.866984957,0.583833832,0.920487153,0.732980141,0.715839145,0.368174372,0.870833623,0.726825874,2.982387527,0.732980141,0.715839145,24.28101033,0.190787968,-0.774444187,-0.190787968,0.696985636,0.446953564,0.720382188,0.104749937,0.824066181,0.071183881,0.658496021,-0.219916659,0.365724471,0.639018896,0.783576381,0.679560134,101.1842856,0.957885788,11.57658397,0.800246098,4.08732777,1.15800445,29.99963904,0.213484286,-0.840974306,3.85,0.66,121826340.0
RIP_180619_1120_0014,0.047404226,0.07064346,0.012126568,0.55178237,0.65625,1.206805267,1.5,1.957648069,1.575,2.851077443,3.54375,0.841771407,0.722497776,0.688297345,0.642407955,4.088036439,0.093156424,0.049614221,0.060156708,0.956991042,6.810806124,5.241323383,1.490235491,0.504378144,0.757073314,0.081756126,0.090774092,-0.009017966,0.508390952,0.863375189,0.73912311,0.542683809,0.967362543,0.407116107,0.773006014,0.614932293,0.647529444,7.810806124,0.59259512,0.920885704,0.762557732,0.730442665,0.379036615,0.877159157,0.739548698,2.992724124,0.762557732,0.730442665,23.48241397,0.196863105,-0.773006014,-0.196863105,0.706981662,0.464474622,0.730556773,0.105464751,0.823764722,0.070770527,0.664366503,-0.231513105,0.364159767,0.651591206,0.793417962,0.671034884,90.22902645,0.956307229,11.6399405,0.819712133,4.32438671,1.158348569,31.192258,0.219401328,-0.841771407,3.59,0.68,121826340.0
RIP_180619_1120_0015,0.047191948,0.06927404,0.011949958,0.55966663,0.661458333,1.162330627,1.5,2.048685584,1.587499999,2.767799804,3.571874998,0.844471349,0.730773077,0.694498862,0.648936819,3.961095208,0.093056652,0.048883447,0.05927045,0.958188904,7.079023975,5.503719421,1.467920756,0.512474682,0.765835252,0.079406174,0.087330682,-0.007924508,0.516861315,0.865906882,0.74652774,0.539450451,0.973328973,0.401670189,0.779712004,0.62158361,0.655493656,8.079023975,0.595888641,0.922235674,0.772411606,0.736249476,0.366043652,0.87948638,0.746706564,3.028270841,0.772411606,0.736249476,25.08029297,0.189601208,-0.779712004,-0.189601208,0.705753021,0.472622434,0.738127073,0.102456291,0.827746828,0.069796881,0.668277955,-0.236179407,0.367492897,0.657852708,0.789685173,0.681235684,96.70607235,0.956904791,11.85936698,0.828721788,4.21231814,1.15951341,31.6317646,0.211279476,-0.844471349,3.39,0.68,121826340.0
RIP_180619_1120_0016,0.04466778,0.068154976,0.011300225,0.56815195,0.673611111,1.471744652,1.5,1.647704305,1.616666666,3.568980781,3.637499999,0.854222122,0.747233777,0.70561856,0.657416843,3.827310834,0.091040554,0.047497391,0.057620792,0.960996867,7.336177097,5.463409225,1.52581964,0.52348417,0.781154275,0.080341947,0.090428809,-0.010086862,0.526777623,0.874878987,0.754619136,0.549092323,0.982471737,0.417842733,0.785779556,0.627894795,0.668643328,8.336177097,0.596189823,0.927111061,0.790457231,0.755239459,0.399061136,0.879697824,0.761589969,3.164025679,0.790457231,0.755239459,23.96172131,0.208177825,-0.785779556,-0.208177825,0.715557324,0.485327964,0.756886502,0.100084446,0.834321664,0.06559389,0.677369055,-0.241577999,0.359867122,0.668709024,0.803972812,0.655385456,92.46948952,0.958342725,12.71950274,0.84308037,4.23333692,1.163710497,32.34853804,0.231349591,-0.854222122,3.83,0.66,121826340.0
RIP_180619_1120_0017,0.045545682,0.06898337,0.011914067,0.55285305,0.626736111,1.158397675,1.5,1.947733536,1.504166666,2.613634754,3.384374999,0.847774804,0.730244778,0.69279127,0.644483806,4.067199877,0.094224716,0.048218459,0.058451324,0.957808921,7.014294605,5.291369696,1.514597366,0.507307368,0.763023036,0.080506991,0.090280974,-0.009773983,0.510705344,0.870023069,0.744702565,0.545568399,0.970509756,0.411955367,0.778130171,0.618888642,0.65678117,8.014294605,0.585307378,0.923887402,0.767085403,0.738905552,0.392836414,0.871911271,0.746446769,3.072926926,0.767085403,0.738905552,23.3457325,0.204644041,-0.778130171,-0.204644041,0.705452547,0.468694886,0.740622457,0.103364129,0.828390585,0.068245285,0.668919061,-0.23230122,0.360206885,0.655806682,0.795284082,0.660241476,91.60449645,0.957566845,12.1384295,0.824799934,4.24447726,1.160937037,31.3759496,0.228404146,-0.847774804,3.76,0.66,121826340.0
RIP_180619_1120_0018,0.044886976,0.06676039,0.011895198,0.51973796,0.604166667,1.228398857,1.5,1.770597546,1.450000001,2.671767515,3.262500002,0.841002502,0.698373604,0.66903982,0.617730221,4.664256611,0.096284209,0.046951344,0.056884929,0.955250353,6.785124682,5.234401788,1.48729979,0.474850984,0.729432718,0.076738606,0.085145927,-0.008407321,0.478557105,0.864222803,0.737110842,0.540383717,0.945880565,0.403244429,0.772342446,0.606803176,0.646341588,7.785124682,0.581023509,0.920501251,0.717907943,0.709364924,0.377346754,0.868762834,0.719465519,2.982751968,0.717907943,0.709364924,23.49757672,0.195915182,-0.772342446,-0.195915182,0.697537116,0.437100925,0.715016466,0.105736366,0.823170794,0.07109284,0.655305884,-0.213325174,0.363332074,0.631942138,0.786034331,0.672359404,101.4297223,0.958554875,11.57881431,0.788979879,4.05748101,1.158016624,29.3659956,0.21927758,-0.841002502,3.52,0.69,121826340.0
RIP_180619_1120_0019,0.048620697,0.07128446,0.012606561,0.55375195,0.631944444,1.18189045,1.5,1.924882292,1.516666666,2.688800772,3.412499998,0.838569373,0.721234059,0.687332801,0.643217328,4.057933972,0.095135443,0.050346704,0.061014123,0.955482046,6.76820011,5.298424141,1.466134062,0.505131253,0.755984594,0.081341662,0.089419216,-0.008077554,0.509581377,0.861078448,0.736871495,0.53794835,0.967247033,0.399132421,0.771903016,0.614579762,0.644017243,7.76820011,0.588204293,0.919284687,0.762744475,0.726653279,0.364988465,0.874013608,0.73731765,2.951623966,0.762744475,0.726653279,24.157198,0.189014081,-0.771903016,-0.189014081,0.699453866,0.464359426,0.726282529,0.105817128,0.822008622,0.072174251,0.662577881,-0.232249449,0.366916207,0.650836076,0.784722438,0.682065867,91.5509604,0.955525357,11.38922278,0.819305615,4.313905645,1.156965589,31.2144257,0.211221431,-0.838569373,4.32,0.71,121826340.0
RIP_180619_1120_0020,0.047002174,0.06865801,0.011544735,0.53696233,0.623263889,1.067109451,1.5,2.102642797,1.495833334,2.394326831,3.365625001,0.839023866,0.707058161,0.678011348,0.630568344,4.342127822,0.090756986,0.048498823,0.058835052,0.957904881,6.820825713,5.354012022,1.460741156,0.489960156,0.742468472,0.078769111,0.086324295,-0.007555184,0.49456069,0.859229335,0.740093054,0.539743357,0.956757572,0.40216447,0.773263857,0.611666508,0.645552577,7.820825713,0.60562444,0.919511933,0.739325729,0.716554046,0.361789995,0.886205554,0.728141084,2.957389772,0.739325729,0.716554046,24.51775385,0.187236742,-0.773263857,-0.187236742,0.712111225,0.45052421,0.719666756,0.105203251,0.822776289,0.072020461,0.658580017,-0.223490449,0.369499657,0.641161652,0.793542287,0.684583984,99.41937886,0.95731024,11.424202,0.80412358,4.18475076,1.157161988,30.2638428,0.207998296,-0.839023866,4.19,0.73,121826340.0
RIP_180619_1120_0021,0.044842787,0.06719544,0.011526994,0.5231076,0.564236111,1.24274292,1.5,1.634489295,1.354166666,2.524321556,3.046874999,0.84208907,0.700975385,0.671751449,0.620551895,4.597469324,0.093286719,0.047113248,0.057123124,0.956878982,6.784867545,5.195220942,1.498467078,0.478264813,0.733206491,0.078021099,0.086920916,-0.008899817,0.481919193,0.863802578,0.738389813,0.543805445,0.948653137,0.408999941,0.772335782,0.607637362,0.647204714,7.784867545,0.591022218,0.921044535,0.723571469,0.713447991,0.383743825,0.876038001,0.722741931,2.99686329,0.723571469,0.713447991,23.14478507,0.199509164,-0.772335782,-0.199509164,0.707148435,0.440503192,0.718398802,0.105795295,0.823602357,0.070602348,0.657001935,-0.215559295,0.362907836,0.634619233,0.794559136,0.667348662,98.63384979,0.958539714,11.66536772,0.792965878,4.122449615,1.15848568,29.5899949,0.222389601,-0.84208907,2.77,0.64,121826340.0
RIP_180619_1120_0022,0.045580126,0.067490965,0.011890419,0.5319368,0.590277778,1.046118546,1.5,2.031318543,1.416666667,2.223001911,3.187500001,0.842151376,0.708462744,0.67705202,0.627361885,4.430937649,0.095152651,0.047518278,0.057587231,0.956271336,6.881600152,5.322850666,1.480710365,0.486356674,0.740797006,0.077511385,0.085748186,-0.008236801,0.490282963,0.864736787,0.74029438,0.540094026,0.954690294,0.402755979,0.774815352,0.611573419,0.649396255,7.881600152,0.586208239,0.921075688,0.734534519,0.717970225,0.37353234,0.872567348,0.728324858,2.997676481,0.734534519,0.717970225,24.01339786,0.193779319,-0.774815352,-0.193779319,0.700422986,0.447971308,0.722526583,0.104635875,0.824698128,0.070665997,0.659451542,-0.220325124,0.364753323,0.639989017,0.787338788,0.675351523,100.1309857,0.958074345,11.67036704,0.801475434,4.102912125,1.158512571,30.057834,0.216551626,-0.842151376,2.99,0.66,121826340.0
RIP_180619_1120_0023,0.04597096,0.068344004,0.011868462,0.54361784,0.633680556,1.078710175,1.5,2.114794181,1.520833334,2.460807588,3.421875002,0.844057553,0.718964132,0.685093606,0.636686332,4.222877524,0.094057218,0.048045438,0.058241875,0.95726821,6.954140937,5.35027908,1.486677764,0.49764688,0.752210524,0.078848586,0.087430342,-0.008581756,0.501556698,0.866100972,0.742838829,0.541624254,0.96313516,0.405334024,0.776639656,0.615670113,0.652502616,7.954140937,0.58960648,0.922028777,0.751513456,0.727601525,0.376987948,0.875023473,0.737277448,3.022768491,0.751513456,0.727601525,24.03956921,0.195714045,-0.776639656,-0.195714045,0.704074377,0.458844744,0.73076352,0.103876876,0.826251308,0.069871816,0.663893164,-0.227042187,0.364318528,0.648106942,0.790816137,0.672640719,96.86468514,0.957658453,11.82524446,0.813743861,4.17158906,1.159334962,30.75373456,0.218387583,-0.844057553,3.78,0.68,121826340.0
RIP_180619_1120_0024,0.04733972,0.07029706,0.011781456,0.5663314,0.666666667,1.283377113,1.5,1.870066076,1.600000001,3.080105073,3.600000002,0.845716318,0.736363632,0.699028201,0.654218818,3.858849584,0.091033971,0.049401513,0.059927981,0.959241674,7.056260105,5.425278065,1.484948791,0.51899168,0.772333538,0.081472944,0.090228368,-0.008755424,0.523191988,0.866219869,0.746831398,0.543177393,0.977838083,0.407945438,0.779158286,0.622667109,0.656016805,8.056260105,0.60144717,0.922858159,0.78316147,0.742536987,0.375989235,0.883351807,0.751562763,3.044946809,0.78316147,0.742536987,24.41290058,0.195154441,-0.779158286,-0.195154441,0.712922295,0.478955706,0.742768524,0.102778261,0.828008402,0.069213337,0.670816923,-0.240139689,0.365788636,0.662510175,0.797166938,0.673423896,91.77042042,0.956558982,11.96313371,0.835553066,4.31444314,1.160050136,32.0577944,0.216874685,-0.845716318,3.84,0.73,121826340.0
RIP_180619_1120_0025,0.04781864,0.070875354,0.011868772,0.54813904,0.600694444,1.184223557,1.5,1.826091016,1.441666666,2.56088344,3.243749998,0.83952337,0.716366473,0.684771514,0.639174647,4.149332541,0.090904722,0.04983575,0.06045634,0.95761212,6.733845534,5.217920681,1.482170007,0.5003204,0.75217882,0.082063296,0.090774418,-0.008711122,0.504618118,0.859902889,0.737687957,0.542845071,0.964148687,0.407387122,0.771005797,0.612650664,0.644006856,7.733845534,0.602302341,0.919761685,0.75642985,0.725424218,0.37437984,0.883939589,0.735161969,2.963752208,0.75642985,0.725424218,23.50534446,0.194253418,-0.771005797,-0.194253418,0.713121098,0.460175534,0.725397266,0.106286507,0.822003428,0.071710065,0.66183652,-0.229634841,0.366250206,0.648097731,0.796972883,0.674686436,90.61779207,0.956172157,11.46287389,0.814837719,4.34737991,1.157377799,30.94149256,0.215835863,-0.83952337,4.1,0.7,121826340.0
RIP_180619_1120_0026,0.049980126,0.07016059,0.012989935,0.556792,0.609375,1.189365387,1.5,1.84447103,1.4625,2.609170318,3.290625,0.835258991,0.720210857,0.686878349,0.6447987,4.011162599,0.097572835,0.050296653,0.060911909,0.954403837,6.935965191,5.653323898,1.40376977,0.506811874,0.755648719,0.077351119,0.082537545,-0.005186426,0.512415116,0.858714037,0.740131272,0.527005535,0.967711074,0.380494106,0.776185341,0.618374494,0.645043848,7.935965191,0.587425046,0.917629496,0.761290622,0.720527008,0.326728442,0.873450213,0.735566871,2.9102835,0.761290622,0.720527008,27.27856374,0.167973562,-0.776185341,-0.167973562,0.687556152,0.465065524,0.722330672,0.10364485,0.822521924,0.073833226,0.660968046,-0.233678857,0.37542163,0.650629829,0.766953313,0.712367527,103.09124,0.955331447,11.14026803,0.81976516,4.13655554,1.155534072,31.215931,0.188337069,-0.835258991,3.26,0.68,121826340.0
RIP_180619_1120_0027,0.052353527,0.07164783,0.013406708,0.54827577,0.592013889,1.228481293,1.5,1.734865653,1.420833334,2.618200756,3.196875001,0.825671084,0.703696674,0.675870946,0.636335761,4.154835531,0.097568567,0.051813908,0.062746726,0.952262324,6.652370909,5.5916363,1.368538742,0.495922243,0.740658138,0.077535425,0.08112367,-0.003588245,0.502473082,0.84891883,0.731405439,0.521423761,0.958416271,0.370883706,0.768849484,0.61112132,0.631100473,7.652370909,0.592254863,0.912835542,0.744227143,0.703244946,0.303838912,0.876917158,0.721109751,2.796645114,0.744227143,0.703244946,28.0618736,0.155597515,-0.768849484,-0.155597515,0.684750319,0.45269545,0.703345707,0.106574844,0.815550237,0.077874919,0.651989405,-0.228453379,0.381007672,0.639897379,0.759433637,0.730706387,104.0111083,0.953891741,10.47256606,0.805453648,4.169767925,1.151377907,30.5271067,0.174459643,-0.825671084,2.53,0.59,121826340.0
RIP_180619_1120_0028,0.050405897,0.06940552,0.013225472,0.55511516,0.614583333,1.275556679,1.5,1.734536799,1.474999999,2.822169151,3.318749998,0.833512323,0.717585429,0.684802781,0.643162613,4.038795103,0.099412066,0.050109193,0.060654269,0.953459347,6.998141358,5.808666076,1.376932544,0.504709263,0.752807829,0.075179671,0.079057525,-0.003877854,0.51076953,0.85778875,0.740865572,0.521701315,0.965951652,0.37136325,0.777731876,0.619116427,0.64496459,7.998141358,0.584309682,0.916756162,0.756420751,0.715785192,0.309378727,0.871182237,0.732858314,2.888923066,0.756420751,0.715785192,28.88546571,0.158579403,-0.777731876,-0.158579403,0.679890761,0.462695327,0.71884162,0.102834178,0.822482295,0.074683527,0.659301607,-0.232524238,0.378886618,0.648599561,0.756867256,0.72625199,109.4930733,0.955371182,11.01290113,0.817047919,4.035789685,1.154778041,31.0425407,0.178256364,-0.833512323,3.69,0.65,121826340.0
